Thời gian cập nhật,,12/06/2026,,"Logic thuộc 1 trong 4 trường hợp sau:

Tồn LM: Lượng đơn Backlogs LastMile trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn KTC: Lượng đơn Backlogs KTC cùng tỉnh trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn LM + Tồn KTC: Các bưu cục đồng thời thuộc cả 2 nhóm: Tồn LM và Tồn KTC
Tồn Aging >5 ngày: tỷ lệ đơn tồn trên 5 ngày chiếm từ 10% trở lên trên tổng lượng Backlogs LastMile.",,,,,,,,,,,,,,,,
Tổng số lượng bưu cục cảnh báo:,,10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ngay,vung_giao,tinh_giao,kho_giao_id,kho_giao_name,warehouse_type,bl lm,bl lm >5 ngay,%bl lm >5 ngay,bl ktc,bl ktc cung tinh,%bl ktc cung tinh,tao_n1,tao_avg_7ngay,gtc_n1,gtc_avg_7ngay,gtc_max_7ngay,du_kien_clear_ton,tinh_hinh,ly_do_bat_on,Trạng thái
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,20849000,Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng,BC,471,3,0.60%,245,20,0.082,375,431,374,405,460,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,20673000,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,BC,813,12,1.50%,381,34,0.089,584,714,670,673,730,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22116000,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,BC,545,0,0.00%,246,24,0.098,409,480,462,464,551,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,22483000,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,BC,1056,4,0.40%,545,85,0.156,822,987,980,910,1064,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,1896,Bưu Cục Đạ Huoai-Lâm Đồng,BC,474,2,0.40%,352,129,0.366,396,454,431,399,495,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,21525000,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,GXT,59,0,0.00%,36,1,0.028,112,79,60,55,75,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Ninh Thuận,20648000,Bưu Cục 51 Phạm Ngọc Thạch-Ninh Hải-Ninh Thuận,BC,954,3,0.30%,512,40,0.078,707,896,906,830,923,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21130000,Kho Giao Hàng Nặng - TP Đà Lạt - Lâm Đồng,GXT,348,0,0.00%,192,17,0.089,531,410,369,303,369,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21537000,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,BC,632,1,0.20%,301,29,0.096,469,569,533,574,660,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21294000,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng,BC,776,5,0.60%,388,39,0.101,549,760,690,717,771,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21516000,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,BC,811,5,0.60%,425,44,0.104,630,791,618,741,915,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,20633000,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,BC,661,0,0.00%,283,62,0.219,514,643,461,619,738,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Ninh Thuận,21163000,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,GXT,167,1,0.60%,85,19,0.224,237,204,174,154,225,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,22746000,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,BC,1088,4,0.40%,658,32,0.049,558,1103,1031,1095,1202,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21687000,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,BC,1250,7,0.60%,587,36,0.061,1063,1258,1138,1195,1701,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20694000,Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà,BC,374,1,0.30%,300,20,0.067,304,403,361,365,471,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,22774000,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,BC,476,2,0.40%,271,21,0.077,294,480,406,463,508,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20143000,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,BC,749,7,0.90%,544,43,0.079,597,777,693,722,830,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20543000,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,BC,937,3,0.30%,648,55,0.085,874,1060,1108,978,1169,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,2309,Bưu Cục Đắk Mil-Đắk Nông,BC,1077,4,0.40%,811,70,0.086,908,1109,1072,1056,1245,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21458000,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,BC,373,0,0.00%,215,19,0.088,349,393,321,377,444,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,2357,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,BC,884,9,1.00%,635,65,0.102,775,928,821,856,929,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Ninh Thuận,20499000,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,BC,912,22,2.40%,720,79,0.11,840,1069,1044,935,1114,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,21569000,Bưu Cục 70 Lê Hồng Phong-Ninh Diêm-Ninh Hoà-Khánh Hoà,BC,559,3,0.50%,472,62,0.131,522,630,536,570,678,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,20669000,Bưu Cục Đường Trần Lê-Cát Tiên-Lâm Đồng ,BC,304,1,0.30%,361,62,0.172,284,339,308,319,386,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21285000,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,GXT,196,0,0.00%,79,20,0.253,264,250,204,192,216,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,20663000,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng ,BC,464,0,0.00%,470,154,0.328,427,502,379,452,542,1,Bình thường,,Bình thường
