Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
21126000,GYH43HHR,Luân chuyển giao,OTHER,Chưa đóng kiện,0_6,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng
21126000,GYHK3WGU,Luân chuyển giao,OTHER,Chưa đóng kiện,0_6,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng
20269000,GYHQKEGA,Luân chuyển trả,OTHER,Chưa đóng kiện,96_120,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông
21290000,GYHQKYWF,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận
21364000,GYHVMG7M,Luân chuyển trả,SHOPEE,Đã đóng kiện,12_24,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông
21364000,GYH6WQ7X,Luân chuyển trả,SHOPEE,Không cần đóng kiện,12_24,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông
21364000,GYHD7L48,Luân chuyển trả,SHOPEE,Không cần đóng kiện,12_24,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông
21364000,GYHPQKV9,Luân chuyển trả,SHOPEE,Đã đóng kiện,12_24,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông
21320000,GYHWC3YM,Luân chuyển giao,SHOPEE,Không cần đóng kiện,0_6,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận
21364000,GYHUGHDC,Luân chuyển trả,OTHER,Đã đóng kiện,12_24,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông
21067000,VNGH80690836904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
21364000,GYH3VRVD,Luân chuyển trả,SHOPEE,Đã đóng kiện,12_24,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông
21067000,VNGH80609966904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
20785000,VNGH80511616902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21067000,VNGH80603966904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
20785000,VNGH80369936902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21067000,VNGH80506166904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
20785000,VNGH80222216903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21067000,VNGH80401046904,Luân chuyển giao,TTS,Không cần đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
20785000,VNGH80634816902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21067000,VNGH80500766904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
20785000,VNGH80915816902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
