tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM,Khung giờ tạo,Đơn trễ
Lâm Đồng,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,DALATFARM1994,1,24,NTB,1,W24,Lê Văn Trường,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Nông Nghiệp Thịnh Vượng 30,2,24,NTB,2,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Shop lê cao anh Tuấn,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Ngọc Chinh Underwe,1,24,NTB,1,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Shop Hana Phuong Linh,1,24,NTB,0,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,HI MON Food . Ăn Là Ghiền,1,24,NTB,1,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,@trangsucnhienvo,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Holvixa,2,24,NTB,0,W24,Lê Văn Trường,2.Tạo từ 19h-9h,2
Khánh Hòa,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Start-up Cafe food 30s,12,24,NTB,12,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,KhuVườnTrênMây,11,24,NTB,11,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,BalanceLab Shop,2,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,GIA ĐÌNH BEAUTY,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,gas tý nhân,2,24,NTB,2,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,KHO SỈ GIA DỤNG TRƯỜNG VY 2,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Pin Duy Lập,2,24,NTB,2,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Khanh0202,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Văn Thức Shop 49,22,24,NTB,22,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Hoa mười giờ Bình Thuận,2,24,NTB,2,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,DALAT ATISO,3,24,NTB,3,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Tiệm Quê Nhà - Since 2018,8,24,NTB,0,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,8
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Tùng Trung Thành,3,24,NTB,3,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Wax Lông Lạnh Nàng Ong,1,24,NTB,1,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,TANCY STUDIO,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm Đồ Chơi Xe VN,2,24,NTB,2,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,Máy Đảo Thuốc Gia Long,1,24,NTB,0,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,1
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Pin Duy Lập,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Fresh Elegant Fashion Looks,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Macca Trung Linh,1,24,NTB,0,W24,Huỳnh Thị Kim Chi,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục Phước Minh-Thuận Nam-Ninh Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Mỹ Phẩm Long Châu,4,24,NTB,4,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,SHOP NHÀ MÌNH.TPHCM,2,24,NTB,2,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Gia dụng VIệt - Cozy Home,7,24,NTB,7,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Trại nho giống tý,6,24,NTB,6,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,1.Tạo trước 9h,1.Gan_tre,Langfarm - Đặc Sản Chất Lượng,9,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,9
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,3.Tạo sau 19h,4.Khác,Linh Vu 3D,1,24,NTB,0,W24,Phạm Bá Thành Công,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,2.Khách hẹn lại,Gà Mập Mập Shop,2,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,2
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Đồ Dùng VPP & phụ kiện dtdđ,1,24,NTB,0,W24,Nguyễn Lê Nguyên Vũ,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm nhà của Moon,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Cây giống nha đam,2,24,NTB,0,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,2
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Đồ Nghề Chuyên Nghiệp,3,24,NTB,3,W24,Lê Thanh Nhựt,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Văn Thức Shop 49,9,24,NTB,9,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Ari Koi Store,2,24,NTB,0,W24,Lê Văn Trường,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,Bảo vệ cây trồng 86,1,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục 40A Yết Kiêu-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ gia thực phẩm an toàn,1,24,NTB,1,W24,Phan Đình Duy,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 21 Trần Hưng Đạo-Xã Phan Rí Cửa-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Mỹ Phẩm Cô Đẹp,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-06-13,1.Tạo trước 9h,4.Khác,EcoBiVN Sản Phẩm Hỗ Trợ Cá Cảnh,17,24,NTB,0,W24,Thái Thị Thanh Thư,2.Tạo từ 19h-9h,17
Khánh Hòa,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Shop Đồ Bộ Hằng,3,24,NTB,3,W24,Phan Đình Duy,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,FRM NUTS,4,24,NTB,4,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Holvixa,1,24,NTB,1,W24,Lê Văn Trường,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Gấm phan,3,24,NTB,3,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tâm bảo Lộc 49,11,24,NTB,11,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Duongquocloc.,3,24,NTB,0,W24,Trầm Hữu Tiến,2.Tạo từ 19h-9h,3
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,MRDAN1994,3,24,NTB,3,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục Quốc Lộ 14-Đức An-Đắk Song-Đăk Nông,2026-06-13,1.Tạo trước 9h,4.Khác,1990 CAFE,3,24,NTB,0,W24,Trần Thị Nhung,2.Tạo từ 19h-9h,3
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Cửa hàng đặc sản Ninh Thuận,3,24,NTB,3,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,Quýt Sen Đá,1,24,NTB,0,W24,Lê Minh Đại,1.Tạo từ 9h-19h,1
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,ĐỒ ĐI RỪNG 49,14,24,NTB,14,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Ngọc thảo đồ bộ trung niên,10,24,NTB,10,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Điện Máy Tổng Hợp 24h,19,24,NTB,19,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Thích Chấm 86,2,24,NTB,2,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,LUNASTORES SHOPss,1,24,NTB,0,W24,Nguyễn Lê Nguyên Vũ,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Pessi Food,2,24,NTB,2,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,DINH DƯỠNG CÂY TRỒNG,1,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,YẾN BIGSIZE UNISEX,2,24,NTB,2,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,TỔNG KHO HÀNG LD,5,24,NTB,5,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Quầy thuốc Y Đức,3,24,NTB,3,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-06-13,1.Tạo trước 9h,4.Khác,LuluBoutique1,1,24,NTB,0,W24,Nguyễn Hoàng Phi,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,ĐẶC SẢN XỨ ĐÀ LẠT,3,24,NTB,0,W24,Lê Minh Đại,1.Tạo từ 9h-19h,3
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,TiBi Xây Dựng 2,7,24,NTB,0,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,7
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,KhuVườnTrênMây,30,24,NTB,30,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Tiệm Quê Nhà - Since 2018,32,24,NTB,32,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Simple Stylish Ladies Apparel,11,24,NTB,11,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,ThảoElly,1,24,NTB,1,W24,Nguyễn Hoàng Phi,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Đình Phong store 2,5,24,NTB,5,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Gạoo Cosmetics,1,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Hongthu.shop,5,24,NTB,5,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,phụ Liệu Tóc Mỹ Phẩm Diễm,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Máy Đảo Thuốc Gia Long,4,24,NTB,4,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Thư Ú Mall,4,24,NTB,4,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,VUA TỦ THUỐC,4,24,NTB,4,W24,Nguyễn Lê Nguyên Vũ,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,3.Không liên lạc được,Wax Lông Lạnh Nàng Ong,1,24,NTB,0,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,1
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Tienmy.Store,1,24,NTB,1,W24,Huỳnh Thị Kim Chi,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,xe điện kim anh@,1,24,NTB,0,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,1
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Quầy 228 khu A chợ Đà Lạt,73,24,NTB,73,W24,Lê Minh Đại,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,VTNN Duy Tân.,2,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,2
Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nông Nghiệp 4 Mùa,14,24,NTB,14,W24,Trần Văn Phước,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nguyễn Thanh Farm,3,24,NTB,3,W24,Trần Thị Nhung,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Shop phụ kiện loa rừng,7,24,NTB,7,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Mộc Linh - Nhang Trầm,1,24,NTB,1,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Tùng VinFast Auth,2,24,NTB,2,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Ari Koi Store,2,24,NTB,0,W24,Lê Văn Trường,1.Tạo từ 9h-19h,2
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,Bônggạo96,1,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Thực Phẩm TP,23,24,NTB,23,W24,Phạm Bá Thành Công,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 70 Lê Hồng Phong-Ninh Diêm-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,petrang0705,4,24,NTB,4,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Thôn Long Hoà-Vạn Long-Vạn Ninh-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tạp Hóa Nhà Nông Anh Nguyên,3,24,NTB,3,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Cửa hàng đặc sản Ninh Thuận,2,24,NTB,2,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Hàng Hoá Tổng Hợp giá rẻ,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Đặc sản Ninh thuận. Vũ farm,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,NGUYEN NGAN TAM,1,24,NTB,0,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,1
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-06-13,3.Tạo sau 19h,1.Gan_tre,NAMI SHOP 3968,8,24,NTB,0,W24,Trần Văn Phước,2.Tạo từ 19h-9h,8
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Hàng Hoá Tổng Hợp giá rẻ,2,24,NTB,0,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,2
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,EcoBiVN Sản Phẩm Hỗ Trợ Cá Cảnh,25,24,NTB,25,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Hongthu.shop,4,24,NTB,4,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Oanh Thái đồ mặc nhà,5,24,NTB,5,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
